ca-ac;Alameda-Contra Costa Transit District
ak-apm;Anchorage People Mover
ca-avta;Antelope Valley Transit Authority
va-art;Arlington Transit
ca-bart;Bay Area Rapid Transit
ca-bct;Beach Cities Transit
ny-beeline;Bee-Line Bus System
pa-barta;Berks Area Regional Transportation Authority
ma-brta;Berkshire Regional Transit Authority
ca-bbb;Big Blue Bus
on-brampton;Brampton Transit
ma-bat;Brockton Area Transit Authority
ca-burbank;Burbank Bus
on-burlington;Burlington Transit
wa-ctran;C-Tran
ab-calgary;Calgary Transit
ma-cata;Cape Ann Transit Authority
ma-ccrta;Cape Cod Regional Transit Authority
pa-cat;Capital Area Transit, Harrisburg
mi-cata;Capital Area Transportion Authority, Lansing
ny-cdta;Capital District Transportation Authority, Albany
tx-cap;Capital Metropolitan Transportation Authority
ca-cccta;Central Costa County Transit Authority
ny-centro;Central New York Regional Transportation Authority
oh-cota;Central Ohio Transit Authority
il-cumtd;Champaign-Urbana Mass Transit District
nc-cats;Charlotte Area Transit System
il-cta;Chicago Transit Authority
ca-commerce;Commerce Municipal Bus Lines
wa-community;Community Transit
or-corvallis;Corvallis Transit System
ct-ct;CTtransit
ca-culver;Culver CityBus
tx-dart;Dallas Area Rapid Transit
va-dash;DASH Alexandria
il-dekalb;DeKalb Public Transit
de-dart;Delaware Authority for Regional Transit
mi-ddot;Detroit Department of Transportation
on-drt;Durham Region Transit
ny-dutchess;Dutchess County Public Transit
ca-eccta;Eastern Costa County Transit Authority
ca-etran;Elk Grove Transit
pa-emta;Erie Metropolitan Transit Authority
wa-everett;Everett Transit
va-fairfax;Fairfax Connector
ca-fast;Fairfield and Suisun Transit
ca-foothill;Foothill Transit
ma-frta;Franklin Regional Transit Authority
ca-fax;Fresno Area Express
ca-glendale;Glendale Beeline
on-go;GO Transit
ca-ggt;Golden Gate Transit
on-grt;Grand River Transit
ma-gatra;Greater Attleboro-Taunton Regional Transit Authority
ct-gbt;Greater Bridgeport Transit
oh-rta;Greater Cleveland Regional Transit Authority
in-citybus;Greater Lafayette Public Transportation Corporation
me-gpm;Greater Portland Metro
vt-gmt;Green Mountain Transit
ca-gtrans;GTrans, Gardena
on-hsr;Hamilton Street Railway
va-hrt;Hampton Roads Transit
fl-hart;Hillsborough Area Regional Transit
ct-hart;Housatonic Area Regional Transit
in-indygo;IndyGo
wa-intercity;Intercity Transit
in-interurban;Interurban Trolley
wa-island;Island Transit
wa-king;King County Metro
wa-kitsap;Kitsap Transit
or-ltd;Lane Transit District
pa-lanta;Lehigh and Northampton Transportation Authority
ca-lavta;Livermore-Amador Valley Transit Authority
ca-lbt;Long Beach Transit
ca-ladot;Los Angeles Department of Transportation
ca-lacmta;Los Angeles Metro
va-loudoun;Loudoun County Transit
ma-lrta;Lowell Regional Transit Authority
fl-lynx;Lynx, Orlando
ca-marin;Marin County Transit District
md-mta;Maryland Transit Administration
ma-mbta;Massachusetts Bay Transportation Authority
ma-meva;Merrimack Valley Transit
il-metra;Metra
wi-metro;Metro Transit, Madison
mo-metro;Metro Transit, St. Louis
mn-metro;Metro Transit, Twin Cities
ma-mwrta;MetroWest Regional Transit Authority
ga-marta;Metropolitan Atlanta Rapid Transit Authority
ny-mta;Metropolitan Transportation Authority
wi-mcts;Milwaukee County Transit System
mn-mvta;Minnesota Valley Transit Authority
ma-mart;Montachusett Regional Transit Authority
ca-montebello;Montebello Bus Lines
md-mont;Montgomery County Ride On
pa-mcta;Monroe County Transit Authority
ma-nrta;Nantucket Regional Transit Authority
ca-nvta;Napa Valley Transportation Authority
ny-nice;Nassau Inter-County Express
nj-njt;New Jersey Transit
ny-nfta;Niagara Frontier Transportation Authority
ca-norwalk;Norwalk Transit, California
ct-norwalk;Norwalk Transit, Connecticut
ca-octa;Orange County Transportation Authority
ca-omni;OmniTrans
il-pace;Pace Suburban Bus
ca-pvpta;Palos Verdes Peninsula Transit
wa-pierce;Pierce Transit
ma-pvta;Pioneer Valley Transit Authority
pa-prt;Pittsburgh Regional Transit
pa-part;Pottstown Area Rapid Transit
md-pg;Prince George's County TheBus
ny-part;Putnam Area Rapid Transit
pa-rabbit;Rabbit Transit
pa-rrta;Red Rose Transit Authority
md-rta;Regional Transportation Agency of Central Maryland
co-rtd;Regional Transportation District
qc-rtc;Réseau de transport de la Capitale
ri-ripta;Rhode Island Public Transit Authority
ct-rvt;River Valley Transit
ny-rgrta;Rochester-Genesee Regional Transportation Authority
ca-roseville;Roseville Transit
ca-sacrt;Sacramento Regional Transit District
ca-mts;San Diego Metropolitan Transit System
ca-muni;San Francisco Municipal Transit Agency
ca-samtrans;San Mateo County Transit District
pa-sts;Schuylkill Transit System
qc-stm;Société de transport de Montréal
wa-sound;Sound Transit
ct-seat;South East Area Transit District
in-nictd;South Shore Line
pa-septa;Southeastern Pennsylvania Transportation Authority
ma-srta;Southeastern Regional Transit Authority
oh-go;Southwest Ohio Regional Transit Authority
mi-smart;Suburban Mobility Authority for Regional Transportation
ny-sct;Suffolk County Transit
az-suntran;SunTran, Tucson
hi-thebus;TheBus, Honolulu
mi-rapid;The Rapid, Grand Rapids
on-thunderbay;Thunder Bay Transit
nj-tiger;Tiger Transit
on-ttc;Toronto Transit Commission
ky-tank;Transit Authority of Northern Kentucky
ny-orange;Transit Orange
bc-translink;TransLink
uk-tfl;Transport for London
ny-tor;Transport of Rockland
fr-tan;Transports de l'Agglomération Nantaise
or-trimet;TriMet
ca-unitrans;Unitrans
pa-uppermerion;Upper Merion Township
ut-uta;Utah Transit Authority
az-valley;Valley Metro
ma-vta;Vineyard Transit Authority
dc-wmata;Washington Metropolitan Area Transit Authority
wa-wta;Whatcom Transportation Authority
ct-wrtd;Windham Regional Transit District
mb-winnipeg;Winnipeg Transit
ma-wrta;Worcester Regional Transit Authority
ca-yolo;Yolo County Transportation District
