24;11.98;2.73
30;12.87;1.16
31;3.58;1.2
31-A;3.72;1.25
31-B;4.3;1.67
32;8.52;1.13
32-B;7.89;1.31
32-M;6.81;1.13
33;3.51;1.15
33-W;6.86;1.29
34;16.24;1.49
34-A;12.8;1.17
34-X;15.05;1.38
36;14.97;1.79
36-X;14.12;1.69
37;4.39;1.47
38;3.24;1.3
38-C;1.87;1.17
39;6.03;1.13
40;3.7;1.11
41;10.94;1.25
42;2.64;1.22
43;3.33;1.2
44;2.41;1.25
45;9.21;1.07
46;3.58;1.12
47;2.83;1.02
47-B;8.65;1.21
47-R;9.46;1.11
47-W;6.13;1.07
50-A;7.42;1.56
50-B;7.16;1.27
50-C;5.26;1.28
69;10.96;1.67
69-F;13.11;1.99
101;9.4;1.09
102;18.77;1.22
121;17.45;1.45
128;10.74;1.24
144;11.53;2.37
153;11.63;2.18
161;2.53;1.38
201;20.62;1.21
255;18.27;1.89
261;8.94;1.2
271-M;15.38;2.06
271-R;6.45;1.12
271-S;4.71;1.31
324-in;2.27;1.26
324-out;2.47;1.38
324-S;5.9;3.31
345;6.39;1.07
471;2.96;2.35
502;9.45;1.11
541-B;6.98;1.72
541-C;6.57;1.62
543;1.17;3.38
901;14.3;1.01
923;17.97;1.17
926;23.5;1.04
927;24.96;1.07
928;28.02;1.16
Hartford Line;59.03;1.01
Shore Line East;44.68;1.03
