22A;9.68;3.04
22F;7.48;1.92
26A;11.39;2.04
60;2.44;1.54
A12;13.82;3.7
A33;1.89;2.14
D12;11.61;4.9
D14;18.61;7.8
D31;6.69;1.96
D33;4.08;1.87
D51;9.79;1.53
DC3;19.73;1.49
F2;11.58;1.7
F6;13.41;1.94
F8;11.67;1.82
F12;6.72;1.86
F13;12.17;2.36
F14;14.45;1.79
H6;5.01;2.3
H8;5.24;2.15
K12;8.58;5.28
P6;7.5;1.86
P12;12.66;1.72
S35-n;3.94;6.3
S35-s;4.17;9.67
S41;3.05;1.57
T2;14.04;1.53
T14;10.52;1.51
U5;4.62;4.43
U6;4.75;4.56
U7;4.38;2.72
V14;10.51;2.05
W1;5.23;2.37
W2;9.77;7.43
W3;9.54;8.82
W45;4.51;1.92
