1;3.88;1.2
2;9.65;1.31
3;13.07;1.09
4;15.01;1.07
6;11.73;1.15
7;8.11;1.11
8;13.88;1.0
8A;7.11;1.17
9;17.69;1.02
10;8.17;1.07
11;4.43;1.16
12;8.47;1.15
J14;15.22;1.22
15;11.04;1.48
18;7.26;1.17
20;7.68;1.01
20-columbus;8.23;1.04
21;10.6;1.11
22;10.8;1.06
24-79th;9.74;1.05
24-87th;11.65;1.12
26;18.2;1.38
28;7.09;1.01
28-peak;13.01;1.08
29;12.64;1.08
30;13.43;1.58
30-sun;10.75;1.63
31;4.0;1.54
34;5.64;1.19
34-C;5.27;1.5
35;8.5;1.23
36;9.71;1.1
37;4.28;1.23
39;8.1;1.44
43;3.65;1.47
44;9.31;1.22
47;9.78;1.26
47-kedzie;6.01;1.03
48;5.72;1.19
49;15.76;1.0
49B;3.62;1.0
50;11.54;1.06
51;4.54;1.22
52;8.52;1.04
52A;9.2;1.1
53;10.65;1.01
53-erie;3.94;1.01
53A;10.81;1.02
54;7.85;1.0
54A;9.9;1.27
54B;7.51;1.14
55;8.76;1.09
55A;3.45;1.86
55N;3.59;1.57
56;9.86;1.07
57;3.79;1.19
59;9.14;1.17
60;8.52;1.19
62;12.7;1.15
62H;5.62;1.41
63;8.69;1.11
63W;4.32;1.09
65;10.45;1.03
65-chicago;4.73;1.03
66;8.84;1.04
67;9.61;1.12
68;4.71;1.04
70;7.7;1.04
71;9.43;1.5
72;9.1;1.01
73;6.98;1.07
74;8.35;1.03
75;7.59;1.25
76;9.16;1.04
77;10.55;1.03
78;8.9;1.07
79;10.9;1.12
80;9.99;1.01
81;6.54;1.12
81W;6.24;1.52
82-devon;11.66;1.05
82-devon-K;11.98;1.07
82-lincolnwood;12.42;1.04
82-lincolnwood-K;12.74;1.07
84;5.89;1.04
85;8.2;1.06
85A;3.59;1.13
86;7.8;1.02
87;10.74;1.05
88-e;4.25;1.18
88-w;4.01;1.12
90;6.66;1.01
91;7.97;1.1
92;6.34;1.19
93;7.54;1.34
94;16.07;1.24
95;9.34;1.4
96;3.9;1.52
97;7.63;1.54
100;7.03;1.3
103;6.51;1.28
106;3.27;1.36
108;5.19;1.24
111;6.17;1.79
111A;2.8;1.26
112;6.48;1.21
115;6.53;1.9
119;6.3;1.49
120;1.64;1.18
121;1.77;1.08
124;2.19;1.19
125;2.64;1.32
126;7.91;1.02
130;2.69;1.28
134;5.06;1.18
135;6.93;1.18
136;9.47;1.12
143;4.65;1.02
146;9.34;1.14
147;10.93;1.07
148;7.44;1.05
151-arthur;10.53;1.23
151-belmont;5.61;1.29
152;10.04;1.02
155;3.37;1.43
156;5.26;1.21
157;7.94;1.28
165;3.94;1.2
169;14.82;1.11
171-n;2.35;2.08
171-s;1.86;1.65
172-n;2.21;1.63
172-s;2.18;1.61
192-n;6.9;1.02
192-s;8.06;1.24
201;8.12;1.66
206-dodge;5.98;1.43
206-ridge;5.92;1.42
Blue;26.97;3.2
N5;11.77;3.6
N9;16.91;1.29
*!hunt;18.96;1.79
