1;4.35;1.25
4-e;2.91;1.42
4-w;2.23;1.09
7;2.87;1.64
8;7;1.95
9;3.62;1.47
10;4.94;2.04
11-in;4.03;2.26
11-out;4.14;2.32
14;7.92;2.57
15;2.68;1.21
17;2.77;1.32
18;3.64;1.14
19;5.49;1.44
21;3.57;1.28
22;4.76;1.24
23;4.4;1.15
24-in;5.03;1.16
24-out;6.18;1.43
30;3.66;1.45
31;3.09;1.22
112;7.26;2.27
171;6.3;1.52
217;8.97;2.39
236;6.66;2.82
245;7.56;1.64
Ashmont;11.27;1.3
Blue;5.76;1.13
Braintree;17.07;1.14
CT2;5.51;1.64
CT3;2.96;1.25
Fairmount;9.04;1.02
Fitchburg;49.71;1.17
Foxboro;21.82;1.05
Franklin;29.35;1.09
Green B;6.29;1.11
Green C;5.07;1.03
Green D;13.98;1.63
Green E;5.04;1.48
Greenbush;24.29;1.22
Haverhill;31.26;1.1
Kingston;34.71;1.09
Lowell;24.3;1.07
Mattapan;2.48;1.32
Middleborough;34.56;1.03
Needham;13.09;1.29
Newburyport;33.82;1.07
Orange;10.87;1.12
Providence;59.4;1.02
Rockport;32;1.07
SL1;3.59;1.67
SL2;2.3;2.06
SL3;5.17;1.63
SL4;2.3;1.1
SL5;2.35;1.23
Stoughton;18.34;1.14
Worcester;40.98;1.06
439;8.05;1.98
411;9.39;2.05
