30;5.33;1.15
31;9.95;1.25
33;5.95;1.86
36;5.4;1.03
38;11.06;1.16
39E;10.02;1.8
45;13.27;1.29
46;8.64;1.17
B4;2.3;1.35
B6-bigy;9.02;1.24
B6-encompass;8.63;1.21
B7;6.92;1.13
B12;8.31;1.05
B17;7.72;1.26
B23;11.38;1.21
B43;9.3;1.31
B48;8.03;1.04
B79;42.26;1.1
G1;13.11;1.85
G2-bigy;8.77;2.13
G2-dwight;9.86;1.69
G3;5.77;2.2
G5-enfield;8.91;1.47
G5-jewish;4.24;1.16
G73E;15.4;1.04
P11;8.11;1.09
P20;10.7;1.51
P21;8.45;1.2
P21-M;8.52;1.2
P21E;7.33;1.03
R10-S;12.08;1.15
R10-U;12.85;1.22
R14;6.66;1.13
R14-C;7.35;1.48
R14-ind;6.53;1.39
R14-M;7.89;1.34
R14-sun;2.84;1.29
R29;24.69;1.25
R41;11.66;1.13
R42;7.9;1.05
WSU;2.92;1.17
X90-north-A;6.41;2.3
X90-north-B;5.65;2.03
X90-south-A;8.72;1.24
X90-south-B;8.83;1.25
X92;7.25;1.98
