1-exchange;12.34;1.11
1-journal;11.4;1.19
1-newark;7.15;1.21
2;9.29;4.34
89;6.43;1.23
153;10.86;2.4
160;18.26;1.54
317;82.23;1.31
319;146.07;1.12
402;42.73;1.46
403;26.43;1.69
409;46.13;1.63
452;9.39;7.44
508;27.37;2.06
610;4.68;4.03
613;17.88;2.48
753-cresskill;12.0;2.1
753-new-milford;11.44;4.11
756;17.94;2.14
811;12.16;2.19
813;12.8;2.3
819-metuchen;11.92;2.05
819-south-plainfield;7.32;1.51
871;23.47;1.8
890;6.79;1.92
891;10.18;2.88
8th-hoboken;8.39;1.1
broad-newark;0.97;1.02
grove-newark;4.48;1.32
Port Jervis;85.16;1.51
river;32.77;1.2
tonelle-hoboken;4.99;1.35
west-tonelle;9.12;1.56
