1;6.5;1.15
10;7.06;1.24
11;3.45;1.06
12;6.69;1.17
13;7.15;1.33
18;8.23;1.53
22;8.05;1.17
85-all;9.55;1.38
85-cottage;7.21;1.13
85-cottage-manor;8.09;1.17
85-diamond;8.33;1.3
85-lasalle;7.59;1.16
85-manor;8.01;1.16
85-none;7.12;1.11
87;5.41;1.92
107;4.53;1.09
114-rail;8.27;1.28
114-ualbany;10.04;1.44
115;5.94;1.31
117;7.52;1.58
125;7.0;1.28
182;18.39;2.71
190;9.18;1.42
214;6.56;2.1
224;9.47;1.4
233-amazon;9.89;1.16
233-park;9.12;1.12
233-pearl;8.74;1.06
286-rpi;4.43;3.03
286-vanderheyden;5.78;1.24
289;4.54;1.94
289-delaware;4.93;2.15
351;8.51;1.51
352;5.04;1.33
353;7.01;1.66
354;5.74;1.14
355;9.94;1.0
370;16.39;1.17
830;11.92;8.21
