1;14.54;1.02
B16;7.39;1.42
B24;6.13;4.26
B39;1.76;1.0
B41-bergen;7.59;1.12
B41-kings;7.2;1.03
B42;1.28;1.01
B69;5.91;1.38
Bx1;7.08;1.41
Bx7;5.82;1.1
Bx9;6.15;1.24
Bx10;6.85;2.41
Bx15;3.45;1.02
Bx16;6.75;2.02
Bx18A;1.65;2.07
Bx18B;1.54;1.83
Bx20;3.28;1.73
Bx22;6.16;1.23
Bx24;3.99;3.06
BxM1;13.41;1.1
BxM4;13.02;1.03
M;17.45;7.07
M7;7.73;1.17
M9;4.34;1.41
M10;5.17;1.02
M35;2.34;1.68
M42;1.95;1.01
M50;2.23;1.16
M125;3.12;1.37
New Haven;69.81;1.04
Q23;6.52;1.5
Q33;2.32;1.28
Q35;8.19;1.23
Q38;7.1;24.34
Q47;5.69;1.27
Q49;2.44;1.52
Q69;5.01;1.58
Q100;5.19;1.32
Q102;6.09;3.6
Q104;2.85;1.55
QM24;11.51;1.83
S42;2.5;2.63
S55;9.08;2.29
S57;9.21;1.71
S62;8.19;1.07
S74;15.8;1.38
S89;10.97;1.12
S92;8.1;1.05
SIM22;23.7;1.26
