1;23.17;4.05
2;16.02;1.06
3;3.88;1.29
4;3.33;1.0
7;9.07;1.02
8;2.52;1.27
9;7.57;1.68
10;2.24;1.94
11A;8.49;1.17
11C;2.56;1.31
12A;6.85;2.35
12B;6.73;2.31
12C;5.46;1.69
12D;10.39;1.28
13A;3.53;1.13
13B;3.86;1.12
14;4.05;1.19
15;4.93;1.4
16;5.61;1.24
17A;10.97;1.06
17B;8.2;1.05
17C;8.62;1.09
19;3.61;1.29
20;5.81;1.63
21A;3.59;1.25
21B;4.21;1.04
21C;7.8;1.16
22A;3.33;1.74
22B;1.48;1.13
301;15.09;1.06
304;8.65;1.76
306;8.83;1.12
310;3.18;1.65
501;16.05;1.12
503;5.8;1.07
504A;7.15;1.48
504B;5.81;1.29
505;6.59;1.33
506;9.05;1.09
509;2.26;1.2
510A;3.18;1.65
510B;2.19;1.05
511;2.99;1.4
512;4.17;1.01
