Blvd Direct;10.51;1.02
1-decatur;18.06;1.31
1-decatur-parx;23.54;1.38
1-parx;19.47;1.14
2-hunting-park;7.84;1.15
2-wayne-junction;8.22;1.12
3;7.62;1.16
4;10.18;1.06
5;6.61;1.09
9;10.58;1.13
10;5.71;1.16
19;11.57;2.14
26-frankford;10.03;1.82
26-torresdale;11.04;2.01
28;12.1;2.24
30;7.1;1.76
34;4.65;1.04
53-broad;4.91;1.48
53-g;6.27;1.21
59;3.98;1.04
60;5.51;1.11
66-cottman;2.19;1.02
66-gregg;4.44;1.02
66-knights;5.95;1.02
67;17.16;2.32
68;20.75;3.73
75;4.71;1.16
79;2.97;1.06
84;18.25;2.16
88-gregg;6.59;1.51
88-hospital;11.55;1.97
89;9.98;2.95
90;11.88;3.68
93;22.46;1.2
98;7.52;1.79
107;16.49;3.25
117;15.86;2.64
126-abbott;7.22;1.44
126-central;7.59;1.52
128;22.63;4.62
129;24.48;2.52
132;14.48;1.79
133;4.97;1.71
150;18.31;1.05
201;2.88;1.42
