2-fordem;10.13;1.41
2-sherman;10.2;1.42
4;8.58;1.57
5;7.26;1.31
6-hayes;14.07;1.43
6-madison;12.41;1.26
7;9.3;1.12
8;6.12;1.21
11;13.42;1.55
12;11.8;1.37
13;4.8;1.99
15;9.98;1.35
16;9.89;1.79
17;2.76;1.32
18-coho;7.39;1.77
18-hammersley;6.92;1.65
18-midvale;7.36;1.76
20;5.68;2.06
21;3.62;1.41
22;3.33;1.27
23;10.33;1.05
26-city-view;3.89;2.04
26-washington;3.08;1.63
28;10.09;1.41
30;3.8;1.83
30-swanton;3.5;1.68
31;8.8;1.72
32;3.9;1.49
33;3.85;1.37
36;1.01;1.64
38-dempsey;9.55;1.24
38-ingersoll;6.1;1.16
38-plafum;12.78;1.58
39;4.31;1.31
44;4.58;1.59
48;3.71;1.31
50;2.81;1.68
51;3.86;1.36
52;3.46;1.2
55;7.89;1.32
59;7.39;1.68
63;4.08;1.54
67;2.98;1.51
68;6.36;2.41
70-discovery;13.32;1.83
70-terrace;14.58;2.0
72-allen;11.98;1.65
72-branch;13.44;1.85
73-deming;6.4;1.8
73-fourier;5.96;1.68
75;12.74;1.2
78;8.08;2.05
80;2.22;1.39
80-eagle;3.61;1.57
84;2.55;1.4
