WGMS;Wegmans;40.305298;-74.675024;WS;1
TJOE;Trader Joe's;40.310325;-74.661257;WS;2
LWAP;Lawrence Apartments;40.333283;-74.656848;WS;3
HEBL;Helm Building;40.336543;-74.655902;WS;4
LAAP;Lakeside Apartments;40.337587;-74.654625;WS;5
PRST;Princeton Railroad Station;40.342125;-74.658818;WS;6
GRAD;Graduate College;40.340707;-74.66462;WS;7
ADMI;Admissions Information Center;40.347005;-74.661835;WS;8
NAFI;Nassau St & Firestone Library;40.349936;-74.658721;WS;9
NACH;Nassau St & Charlton St;40.351285;-74.654155;WS;10
FRCT;Friend Center;40.350574;-74.651992;WS;11
PRJC;Princeton Junction Railroad Station;40.316378;-74.625436;4;1
ALRO;Alexander Rd & Roszel Rd;40.321413;-74.637161;4;2
HEBL;Helm Building;40.336543;-74.655902;4;3
PRST;Princeton Railroad Station;40.342125;-74.658818;4;4
ADMI;Admissions Information Center;40.347005;-74.661835;4;5
NAFI;Nassau St & Firestone Library;40.349936;-74.658721;4;6
WAMC;Washington Rd & McCosh Walk;40.348448;-74.655536;4;7
WAGO;Washington Rd & Goheen Walk;40.345361;-74.653182;4;8
SDGA;Stadium Drive Garage / Lot 21;40.344688;-74.645581;4;9
MSAP;Merwick Stanworth Apartments;40.353101;-74.665908;3;1
NAFI;Nassau St & Firestone Library;40.349936;-74.658721;3;2
WAMC;Washington Rd & McCosh Walk;40.348448;-74.655536;3;3
WAGO;Washington Rd & Goheen Walk;40.345361;-74.653182;3;4
PMED;Princeton Medical Center;40.33931;-74.620853;3;5
FORR;Forrestal Campus;40.345557;-74.61544;3;6
PPPL;Princeton Plasma Physics Laboratory;40.35095;-74.604188;3;7
LWAP;Lawrence Apartments;40.333283;-74.656848;2;1
HEBL;Helm Building;40.336543;-74.655902;2;2
LAAP;Lakeside Apartments;40.337587;-74.654625;2;3
WAGO;Washington Rd & Goheen Walk;40.345361;-74.653182;2;4
WAMC;Washington Rd & McCosh Walk;40.348448;-74.655536;2;5
NACH;Nassau St & Charlton St;40.351285;-74.654155;2;6
FRCT;Friend Center;40.350574;-74.651992;2;7
GRAD;Graduate College;40.340707;-74.66462;1;1
ADMI;Admissions Information Center;40.347005;-74.661835;1;2
NAFI;Nassau St & Firestone Library;40.349936;-74.658721;1;3
WAMC;Washington Rd & McCosh Walk;40.348448;-74.655536;1;4
WAGO;Washington Rd & Goheen Walk;40.345361;-74.653182;1;5
SDGA;Stadium Drive Garage / Lot 21;40.344688;-74.645581;1;6
